post_id,user_id,location,hashtags,likes_count,comment_count,created_at
3429485105709210436,43875098557,,[],159,4,1723046572.0
3427959671930597556,43875098557,,[],117,1,1722864604.0
3425750265189021347,43875098557,,[],1420,4,1722601331.0
3424333611775205326,43875098557,,[],1628,6,1722432443.0
3422916099191629511,43875098557,,[],127,1,1722263411.0
3398273820447694878,43875098557,,[],171,2,1719325648.0
3395369021506956714,43875098557,,[],116,2,1718979649.0
3433091217224946844,49443944127,,"['#reactjs', '#nextjs', '#softwaredeveloper', '#webdeveloper', '#javascript', '#websitedevelopment', '#javascriptdeveloper', '#nextjsdeveloper', '#webdevelopment', '#frontenddeveloper', '#frontend', '#frontendfriday', '#javascripttutorial']",161,3,1723476448.0
3431628950889512344,49443944127,,"['#react', '#reactjs', '#reactjsdeveloper', '#reactdeveloper', '#webdeveloper', '#javascript', '#javascriptdeveloper', '#javascripttutorial', '#websitedevelopment', '#websitedevelopers', '#softwaredeveloper', '#npm', '#frontend', '#frontendfriday', '#nextjs']",308,8,1723302179.0
3430912439363071641,49443944127,,"['#reactjs', '#webdeveloper', '#softwaredeveloper', '#reactjsdeveloper', '#javascript', '#websitedevelopment', '#programming', '#javascriptdeveloper', '#coder', '#webdevelopment', '#coding', '#programmer', '#nextjs', '#frontend', '#frontendfriday']",249,6,1723217327.0
3430880994464803499,49443944127,,"['#reactjs', '#webdeveloper', '#reactjsdeveloper', '#nextjs', '#frontend', '#saas', '#softwaredeveloper', '#websitedevelopment', '#programming', '#javascriptdeveloper', '#coder', '#programminglife', '#programmer', '#vlog', '#workvlog']",716,13,1723213005.0
3429907652232474952,49443944127,,"['#reactjs', '#reactdeveloper', '#webdeveloper', '#softwaredeveloper', '#reactjsdeveloper', '#javascript', '#websitedevelopment', '#programming', '#frontend', '#javascriptdeveloper', '#webdevelopment', '#nextjs', '#javascripttutorial', '#programmer']",219,4,1723096958.0
3428702633106947704,49443944127,,"['#webdeveloper', '#reactjs', '#softwaredeveloper', '#reactjsdeveloper', '#javascript', '#websitedevelopment', '#programming', '#javascriptdeveloper', '#coder', '#webdevelopment', '#programmer', '#nextjs', '#prisma', '#database', '#backend', '#postgresql']",322,14,1722953315.0
3424063161181321861,49443944127,,"['#webdeveloper', '#expressjs', '#reactjs', '#softwaredeveloper', '#reactjsdeveloper', '#reactdeveloper', '#nextjs', '#websitedevelopment', '#saas', '#webdevelopment', '#softwareengineer', '#frontend', '#backend', '#backenddeveloper', '#frontenddeveloper']",183,2,1722400236.0
3423667381622584134,49443944127,,"['#reactjs', '#webdeveloper', '#reactjsdeveloper', '#softwaredeveloper', '#reactjsdevelopment', '#javascript', '#softwaredevelopment', '#webdevelopment', '#nextjs', '#programming', '#coder', '#coding', '#codinglife💻', '#codinglife']",373,8,1722353228.0
3419324078501695904,49443944127,,"['#nextjs', '#webdeveloper', '#reactjs', '#softwaredeveloper', '#reactjsdeveloper', '#javascript', '#websitedevelopment', '#javascriptdeveloper', '#programming', '#coder', '#webdevelopment', '#frontend', '#reactdeveloper', '#reactjsdevelopment', '#websitedeveloper', '#frontenddeveloper']",198,12,1721835316.0
3419321775169325092,49443944127,,"['#webdeveloper', '#reactjs', '#softwaredeveloper', '#reactjsdeveloper', '#javascript', '#websitedevelopment', '#javascriptdeveloper', '#programming', '#nextjs', '#reactjsdevelopment', '#reactdeveloper', '#frontend', '#frontenddeveloper']",615,9,1721835017.0
3416411421308934088,49443944127,,"['#microsoft', '#crowdstrike', '#ethicalhacker', '#cybersecurity', '#webdeveloper', '#reactjs', '#softwaredeveloper', '#reactjsdeveloper', '#javascript', '#websitedevelopment', '#knowledge', '#hindireels', '#microsoftoutage']",284,8,1721488042.0
3409181820392332442,49443944127,,"['#nextjs', '#webdeveloper', '#reactjs', '#softwaredeveloper', '#reactjsdeveloper', '#javascript', '#websitedevelopment', '#javascriptdeveloper', '#programming', '#coder', '#softwareengineer', '#frontenddeveloper', '#frontend', '#reactdeveloper']",523,7,1720626253.0
3319300500897004357,60005915071,,['#NationalCreatorsAward'],459,23,1709911477.0
3432997027330629508,60005915071,,"['#reactjsdevelopment', '#reactjsdeveloper', '#reactjsacademy', '#javascript30', '#javascriptdevelopers', '#JavaScript_Love', '#javascriptlearning', '#javascriptframework', '#javascriptprojects']",268,10,1723465201.0
3432278205418446776,60005915071,,"['#javascriptquiz', '#javascript_love', '#javascriptprojects', '#javascript30', '#javascriptframework', '#javascriptlearning', '#javascripting', '#javascriptcode']",1195,21,1723379532.0
3431556271328201475,60005915071,,"['#javascriptdev', '#javascripttutorial', '#javascriptdevelopers', '#javascriptbrasil', '#javascriptlearning', '#javascript_love', '#javascriptquiz', '#javascriptlibraries', '#learnjavascript']",1223,16,1723293498.0
3430879057838477683,60005915071,,"['#javascriptcode', '#javascriptlover', '#javascriptdev', '#javascript_love', '#javascriptquiz', '#javascriptdevelopers']",4079,27,1723212724.0
3430089834571068534,60005915071,,[],430,6,1723118640.0
3429419262038834369,60005915071,,"['#javascriptlearning', '#javascriptbasics', '#javascriptprogramming', '#javascriptdev', '#javascripttutorials']",580,2,1723038731.0
3428627848356263263,60005915071,,"['#JavaScriptBasics', '#JavaScript30', '#JavaScriptDevelopment', '#JavaScriptLover']",293,6,1722944353.0
3427085308737906976,60005915071,,"['#JavaScriptLibrary', '#JavaScriptLover', '#JavaScriptDOM']",547,3,1722760454.0
